,Rank,City,Population_2011,Population_2001,Territory
127,128,Berhampur,355823,307792,Odisha
128,129,Muzaffarpur,351838,305525,Bihar
129,130,Ahmednagar,350905,307615,Maharashtra
130,131,Mathura,349336,302770,Uttar Pradesh
131,132,Kollam,349033,361560,Kerala
132,133,Avadi,344701,229403,Tamil Nadu
133,134,Kadapa[24],344893,125725,Andhra Pradesh
134,135,Anantapuram[25],340613,255134,Andhra Pradesh
135,136,Kamarhati,336579,314507,West Bengal
136,137,Bilaspur,335761,296662,Odisha
137,138,Sambalpur,330106,274917,Chhattisgarh
138,139,Shahjahanpur,327975,296662,Uttar Pradesh
139,140,Satara,326789,228175,Maharashtra
140,141,Bijapur,326360,228175,Karnataka
141,142,Rampur,325248,281494,Uttar Pradesh
142,143,Shimoga,322428,274352,Karnataka
143,144,Chandrapur,321036,289450,Maharashtra
144,145,Junagadh,320250,168686,Gujarat
145,146,Thrissur,315596,317526,Kerala
146,147,Alwar,315310,260593,Rajasthan
147,148,Bardhaman,314638,285602,West Bengal
148,149,Kulti,313977,289903,West Bengal
149,150,Nizamabad,310467,288722,Telangana
150,151,Parbhani,307191,259329,Maharashtra
151,152,Tumkur,305821,248929,Karnataka
152,153,Khammam,305000,218689,Telangana
153,154,Uzhavarkarai,300028,217707,Puducherry
154,155,Bihar Sharif,296889,232071,Bihar
155,156,Panipat,294150,261740,Haryana
156,157,Darbhanga,294116,267348,Bihar
157,158,Bally,291972,260906,West Bengal
158,159,Aizawl,291822,228280,Mizoram
159,160,Dewas,289438,231672,Madhya Pradesh
160,161,Ichalkaranji,287570,257610,Maharashtra
161,162,Karnal,286974,210476,Haryana
162,163,Bathinda,285813,217256,Punjab
163,164,Jalna,285349,235795,Maharashtra
164,165,Eluru[26],283648,190347,Andhra Pradesh
165,166,Barasat,283443,231515,West Bengal
166,167,Kirari Suleman Nagar,282598,153874,Delhi
167,168,Purnia[27],280547,171687,Bihar
168,169,Satna,280248,225464,Madhya Pradesh
169,170,Mau,279060,212657,Uttar Pradesh
170,171,Sonipat,277053,214974,Haryana
171,172,Farrukhabad,275750,228333,Uttar Pradesh
172,173,Durg,268679,232517,Chhattisgarh
173,174,Imphal,264986,221492,Manipur
174,175,Ratlam,264810,222202,Madhya Pradesh
175,176,Hapur,262801,211983,Uttar Pradesh
176,177,Arrah,261099,203380,Bihar
177,178,Anantapur,261004,218808,Andhra Pradesh
178,179,Karimnagar,260899,205653,Telangana
179,180,Etawah,256838,210453,Uttar Pradesh
180,181,Ambarnath,254003,203795,Maharashtra
181,182,North Dumdum,253625,220042,West Bengal
182,183,Bharatpur,252109,204587,Rajasthan
183,184,Begusarai,251136,93378,Bihar
184,185,New Delhi,249998,302147,Delhi
185,186,Gandhidham,248705,166388,Gujarat
186,187,Baranagar,248466,250768,West Bengal
187,188,Tiruvottiyur,248059,212281,Tamil Nadu
188,189,Pondicherry,241773,220749,Puducherry
189,190,Sikar,237579,184904,Rajasthan
190,191,Thoothukudi,237374,216058,Tamil Nadu
191,192,Rewa,235422,183274,Madhya Pradesh
192,193,Mirzapur,233691,205053,Uttar Pradesh
193,194,Raichur,232456,207421,Karnataka
194,195,Pali,229956,187641,Rajasthan
195,196,Ramagundam[28],229644,236600,Telangana
196,197,Silchar,229136,184105,Assam
197,198,Haridwar,228832,175010,Uttarakhand
198,199,Vijayanagaram,228025,174324,Andhra Pradesh
199,200,Tenali,225982,184937,Andhra Pradesh
200,201,Nagercoil,224849,208179,Tamil Nadu
201,202,Sri Ganganagar,224773,210713,Rajasthan
202,203,Karawal Nagar,224666,148549,Delhi
